Prompt,Metric,GPT-5-Chat,GPT-4o-mini,Gemma-27B,LLaMA3-70B,Qwen3-32B
"Default Prompt with Hedging","Correct Answer Rate","83.3% [78.4, 87.7]","65.0% [59.7, 70.0]","65.9% [60.2, 71.5]","73.9% [68.4, 79.2]","59.4% [53.9, 64.9]"
"Default Prompt with Hedging","Refusal Rate","38 / 2249 (1.7%)","39 / 2249 (1.7%)","0 / 2250 (0.0%)","9 / 2250 (0.4%)","228 / 2250 (10.1%)"
"Default Prompt with Hedging","Correct given attempted","84.7%","66.1%","65.9%","74.2%","66.1%"
"Default Prompt with Hedging","Entropy (Uncertainty Score)","0.080 [0.048, 0.113]","0.342 [0.277, 0.405]","0.137 [0.093, 0.181]","0.148 [0.104, 0.192]","0.395 [0.333, 0.459]"
"Default Prompt with Hedging","Self-consistency Score","80.0% [75.2, 84.4]","50.8% [44.4, 57.2]","61.2% [54.8, 66.8]","67.2% [61.6, 72.8]","44.4% [38.0, 50.4]"
"Default Prompt with Hedging","F score","84.0%","65.5%","65.9%","74.0%","62.6%"
"Default Prompt with Hedging","Weighted Score","0.341","0.158","0.159","0.241","0.145"
"Default Prompt with Hedging","Refusal Index","0.298","0.218","—","0.106","0.421"
"Mitigation Prompt","Correct Answer Rate","83.7% [79.3, 88.3]","64.3% [58.8, 69.5]","66.2% [60.8, 71.9]","72.3% [67.2, 77.5]","55.9% [50.5, 61.1]"
"Mitigation Prompt","Refusal Rate","10 / 2249 (0.4%)","102 / 2249 (4.5%)","0 / 2250 (0.0%)","12 / 2250 (0.5%)","385 / 2250 (17.1%)"
"Mitigation Prompt","Correct given attempted","84.1%","67.4%","66.2%","72.7%","67.4%"
"Mitigation Prompt","Entropy (Uncertainty Score)","0.083 [0.052, 0.120]","0.359 [0.297, 0.421]","0.111 [0.073, 0.150]","0.137 [0.096, 0.178]","0.406 [0.345, 0.471]"
"Mitigation Prompt","Self-consistency Score","80.4% [75.2, 85.2]","48.8% [42.8, 54.4]","62.8% [56.8, 69.2]","66.4% [60.4, 72.4]","43.2% [37.2, 50.0]"
"Mitigation Prompt","F score","83.9%","65.8%","66.2%","72.5%","61.1%"
"Mitigation Prompt","Weighted Score","0.340","0.166","0.162","0.225","0.144"
"Mitigation Prompt","Refusal Index","0.204","0.346","—","0.147","0.574"
"Patient Safety Mitigation Prompt","Correct Answer Rate","83.7% [79.2, 87.9]","65.8% [60.6, 71.0]","65.8% [60.3, 71.4]","72.7% [67.9, 77.5]","54.1% [48.7, 59.8]"
"Patient Safety Mitigation Prompt","Refusal Rate","14 / 2249 (0.6%)","101 / 2249 (4.5%)","0 / 2250 (0.0%)","9 / 2250 (0.4%)","463 / 2250 (20.6%)"
"Patient Safety Mitigation Prompt","Correct given attempted","84.2%","68.9%","65.8%","73.0%","68.2%"
"Patient Safety Mitigation Prompt","Entropy (Uncertainty Score)","0.106 [0.072, 0.142]","0.385 [0.324, 0.459]","0.120 [0.084, 0.159]","0.145 [0.102, 0.189]","0.358 [0.301, 0.417]"
"Patient Safety Mitigation Prompt","Self-consistency Score","78.0% [72.4, 82.8]","51.6% [45.6, 57.6]","60.0% [53.6, 65.6]","66.4% [60.8, 72.4]","40.4% [34.0, 46.8]"
"Patient Safety Mitigation Prompt","F score","84.0%","67.3%","65.8%","72.8%","60.3%"
"Patient Safety Mitigation Prompt","Weighted Score","0.340","0.180","0.158","0.229","0.144"
"Patient Safety Mitigation Prompt","Refusal Index","0.221","0.338","—","0.104","0.563"
