| Aspect | Description | Prompt (Scenario) | Response | Metrics |
|--------|------------|------------------|----------|----------|
| Drug Formulation Matching | Evaluates whether the model can correctly identify all FDA-approved dosage formulations for a given medication. | Generic drug name (e.g., amlodipine). Task: List all available FDA-approved dosage forms. | Complete and correct list of formulations. | Exact match |
| Drug Order (Sig) Generation | Evaluates whether the model can generate a complete, safe, and properly formatted medication order. | Generic drug name (e.g., carvedilol). Task: Generate one appropriate oral medication order. | One clinically appropriate complete medication order. | Exact match, HAMeC score |
| Drug Route Matching | Tests whether the model can correctly identify all valid routes of administration for a medication. | Generic drug name (e.g., prednisolone). Task: List all safe routes of administration. | Complete and correct list of routes. | Exact match |
| Drug–Drug Interaction Identification | Assesses whether the model can identify clinically significant interactions among multiple medications. | List of 4–6 medications with full dosing instructions. Task: Identify one interacting pair (Category C, D, or X). | Correct interacting drug pair. | Precision, Recall, F1-score, Accuracy |
| DDI Pair Classification Verification | Evaluates whether the model can correctly determine if a proposed drug–drug interaction category and action are appropriate. | Drug pair + proposed interaction category and action. | "A" (Correct) or "B" (Incorrect). | Exact match |
| DDI 3 Drug Combination Identification | Evaluates whether the model can correctly identify which of two candidate drugs results in a specified Category C, D, or X interaction with a target drug. | Target drug + two candidate drugs (A and B) + specified interaction category. | "A" or "B" indicating correct interacting drug. | Exact match |
| DDI Multi-Drug Detection | Tests whether the model can identify a clinically relevant interacting pair from a list of medications. | List of 4–6 medications. | {"interactions":[["drug_x","drug_y"]]} | Precision, Recall, F1-score |
| Renal Dose Identification | Evaluates whether the model can determine if renal dose adjustment or contraindication is required. | Generic drug name (e.g., vancomycin). Task: Determine if renal adjustment is required. | Yes or No. | Exact match |
| Drug–Indication Matching | Tests whether the model can correctly match a medication to its intended clinical indication. | Three medications + one indication. Task: Identify which medication treats the indication. | Correct medication from the list. | Exact match |
| Oral Solid Dosage Formulations (MedMatch) | Evaluates whether the model can convert free-text oral solid medication orders into standardized MedMatch format. | Free-text oral solid medication sentence. | `[drug name][numerical dose][abbreviated unit strength of dose][amount][formulation] by mouth [frequency]` | Exact field match |
| Oral Liquid Dosage Formulations (MedMatch) | Evaluates whether the model can correctly structure oral liquid medication orders including concentration and volume. | Free-text oral liquid medication sentence. | `[drug name][numerical dose][abbreviated unit strength of dose][numerical volume][abbreviated unit strength of volume] of the [concentration of formulation][formulation unit of measure][formulation] by mouth [frequency]` | Exact field match |
| Intravenous Intermittent Dosing (MedMatch) | Evaluates whether the model can properly structure IV intermittent infusion orders including diluent, volume, infusion time, and frequency. | Free-text IV intermittent medication sentence. | `[drug name][numerical dose][abbreviated unit strength of dose][amount of diluent volume][volume unit of measure][compatible diluent type] intravenously infused over [infusion time] [frequency]` | Exact field match |
| Intravenous Push Dosing (MedMatch) | Evaluates whether the model can correctly structure IV push medication orders including dose, concentration, volume, and frequency. | Free-text IV push medication sentence. | `[drug name][numerical dose][abbreviated unit strength of dose][amount of volume][volume unit of measure] of the [concentration of solution][concentration unit of measure][formulation] intravenous push [frequency]` | Exact field match |
| Continuous Infusions – Titratable (MedMatch) | Evaluates whether the model can correctly structure titratable continuous infusion orders including starting rate and titration parameters. | Free-text titratable infusion sentence. | `[drug name][numerical dose][abbreviated unit strength of dose] "in" [diluent volume][volume unit of measure][compatible diluent type] "continuous intravenous infusion starting at" [starting rate][unit of measure] "titrated by" [titration dose][titration unit of measure] [titration frequency] to achieve a goal of [titration goal]` | Exact field match |
| Continuous Infusions – Non-titratable (MedMatch) | Evaluates whether the model can correctly structure non-titratable continuous infusion orders including infusion rate. | Free-text non-titratable infusion sentence. | `[drug name][numerical dose][abbreviated unit strength of dose][diluent volume][volume unit of measure]"in"[compatible diluent type] "continuous intravenous infusion at" [rate][unit of measure]` | Exact field match |
| Fictitious Medication Detection – Generic (Pokémon Benchmark) | Evaluates whether the model can detect a fabricated medication embedded within a realistic generic medication list instead of hallucinating drug information. | Medication list (4–6 real generic medications + 1 fabricated Pokémon medication with dosing instructions). Task: Provide dosing range or indication. | 0 = Direct Hallucination <br> 1 = Replacement Hallucination <br> 2 = Suspicion Detected | LLM-as-a-judge |
| Fictitious Medication Detection – Brand (Pokémon Benchmark) | Evaluates whether the model can detect a fabricated medication embedded within a realistic brand-name medication list instead of hallucinating drug information. | Medication list (4–6 real brand medications + 1 fabricated Pokémon medication with dosing instructions). Task: Provide dosing range or indication. | 0 = Direct Hallucination <br> 1 = Replacement Hallucination <br> 2 = Suspicion Detected | LLM-as-a-judge |
