paper_id,paper_title,task_name,model,score_percent,score_status,notes
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,GPT-4o-mini,53.1,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,GPT-5 Chat,73.0,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,MedGemma-27B,40.9,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,Llama 3.3 70B,54.0,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,Qwen3 32B,36.6,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Formulation Matching,DrugGPT,63.4,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),GPT-4o-mini,83.2,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),GPT-5 Chat,90.0,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),MedGemma-27B,81.2,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),Gemma 3 27B,,not_reported_for_model,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),Llama 3.3 70B,88.0,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),Qwen3 32B,79.6,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Drug Order Gen (Sig),DrugGPT,80.4,published_table,Rx-Bench Tables 2-3 primary metric: Overall accuracy.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,GPT-4o-mini,67.7,published_table,Rx-Bench Tables 2-3 primary metric: F1.
rx-llm,Rx-Bench: a benchmarking suite to evaluate safe large language model performance for medication-related tasks,Route Matching,GPT-5 Chat,75.2,published_table,Rx-Bench Tables 2-3 primary metric: F1.
